date,event,fighter1,fighter1 - open,fighter1 - 48h,fighter1 - close,fighter2,fighter2 - open,fighter2 - 48h,fighter2 - close,winner
2025-03-09,UFC,Brunno Ferreira,2025-02-24 18:07:00 - price: +105,2025-03-06 21:01:00 - price: +116,2025-03-08 21:01:00 - price: +112,Armen Petrosyan,2025-02-24 18:07:00 - price: -125,2025-03-06 21:01:00 - price: -141,2025-03-08 21:01:00 - price: -134,Brunno Ferreira
2025-03-09,UFC,Rafael Fiziev,2025-02-27 05:11:00 - price: -139,2025-03-07 01:01:00 - price: -163,2025-03-08 23:01:00 - price: -159,Justin Gaethje,2025-02-27 05:11:00 - price: +112,2025-03-07 01:01:00 - price: +133,2025-03-08 23:01:00 - price: +131,Justin Gaethje
2025-03-09,UFC,Francis Marshall,2025-02-24 18:15:00 - price: +290,2025-03-06 17:01:00 - price: +247,2025-03-08 19:01:00 - price: +197,Mairon Santos,2025-02-24 18:15:00 - price: -370,2025-03-06 17:01:00 - price: -322,2025-03-08 19:01:00 - price: -245,Mairon Santos
2025-03-09,UFC,Magomed Ankalaev,2025-01-18 23:01:00 - price: +142,2025-03-07 01:01:00 - price: -107,2025-03-08 23:01:00 - price: +104,Alex Pereira,2025-01-18 23:01:00 - price: -170,2025-03-07 01:01:00 - price: -114,2025-03-08 23:01:00 - price: -125,Magomed Ankalaev
2025-03-09,UFC,King Green,2025-02-24 17:55:00 - price: +430,2025-03-06 23:01:00 - price: +343,2025-03-08 21:01:00 - price: +398,Mauricio Ruffy,2025-02-24 17:55:00 - price: -600,2025-03-06 23:01:00 - price: -464,2025-03-08 21:01:00 - price: -540,Mauricio Ruffy
2025-03-09,UFC,Ignacio Bahamondes,2025-02-24 17:43:00 - price: +100,2025-03-06 23:01:00 - price: -126,2025-03-08 23:01:00 - price: -141,Jalin Turner,2025-02-24 17:43:00 - price: -120,2025-03-06 23:01:00 - price: +102,2025-03-08 23:01:00 - price: +116,Ignacio Bahamondes
2025-03-08,UFC 313,Ozzy Diaz,2025-02-24 18:19:00 - price: +145,2025-03-06 19:01:00 - price: +160,2025-03-08 19:01:00 - price: +161,Djorden Santos,2025-02-24 18:19:00 - price: -175,2025-03-06 19:01:00 - price: -194,2025-03-08 19:01:00 - price: -194,Ozzy Diaz
2025-03-02,UFC,Hyder Amil,2025-02-18 10:37:00 - price: +150,2025-02-27 19:01:00 - price: +164,2025-03-01 19:01:00 - price: +179,William Gomis,2025-02-18 10:37:00 - price: -186,2025-02-27 19:01:00 - price: -202,2025-03-01 19:01:00 - price: -222,Hyder Amil
2025-03-02,UFC,Cody Brundage,2025-02-18 10:37:00 - price: +116,2025-02-27 19:01:00 - price: +104,2025-03-01 19:01:00 - price: -120,Julian Marquez,2025-02-18 10:37:00 - price: -143,2025-02-27 19:01:00 - price: -128,2025-03-01 19:01:00 - price: -101,Cody Brundage
2025-03-02,UFC,Danny Barlow,2025-02-18 10:37:00 - price: -345,2025-02-27 21:01:00 - price: -321,2025-03-01 19:01:00 - price: -222,Sam Patterson,2025-02-18 10:37:00 - price: +260,2025-02-27 21:01:00 - price: +249,2025-03-01 19:01:00 - price: +180,Sam Patterson
2025-03-01,UFC,Lucas Almeida,2025-02-18 10:37:00 - price: +150,2025-02-27 15:01:00 - price: +175,2025-03-01 17:01:00 - price: +209,Danny Silva,2025-02-18 10:37:00 - price: -190,2025-02-27 15:01:00 - price: -220,2025-03-01 17:01:00 - price: -264,Danny Silva
2025-03-01,UFC,Austen Lane,2025-02-18 10:37:00 - price: +265,2025-02-27 19:01:00 - price: +404,2025-03-01 17:01:00 - price: +396,Mario Pinto,2025-02-18 10:37:00 - price: -345,2025-02-27 19:01:00 - price: -559,2025-03-01 17:01:00 - price: -534,Mario Pinto
2025-02-23,UFC,Rob Font,2025-02-16 08:37:00 - price: +130,2025-02-20 22:10:00 - price: +131,2025-02-22 22:07:00 - price: +149,Jean Matsumoto,2025-02-16 08:37:00 - price: -175,2025-02-20 22:10:00 - price: -163,2025-02-22 22:07:00 - price: -179,Rob Font
2025-02-23,UFC,Brendan Allen,2025-12-23 18:29:00 - price: +164,2026-02-20 22:45:00 - price: +255,2026-02-22 22:21:00 - price: +265,Anthony Hernandez,2025-12-23 18:29:00 - price: -198,2026-02-20 22:45:00 - price: -331,2026-02-22 22:21:00 - price: -341,Anthony Hernandez
2025-02-23,UFC,Melquizael Costa,2025-02-13 14:17:00 - price: -110,2025-02-20 20:31:00 - price: -115,2025-02-22 20:11:00 - price: -135,Andre Fili,2025-02-13 14:17:00 - price: -110,2025-02-20 20:31:00 - price: -106,2025-02-22 20:11:00 - price: +112,Melquizael Costa
2025-02-23,UFC,Ibo Aslan,2025-01-14 19:37:00 - price: -155,2025-02-20 21:03:00 - price: -184,2025-02-22 20:37:00 - price: -204,Ion Cutelaba,2025-01-14 19:37:00 - price: +130,2025-02-20 21:03:00 - price: +150,2025-02-22 20:37:00 - price: +169,Ion Cutelaba
2025-02-23,UFC,Austin Vanderford,2025-02-19 06:19:00 - price: +140,2025-02-20 19:01:00 - price: -105,2025-02-22 18:57:00 - price: -106,Nikolay Veretennikov,2025-02-19 06:19:00 - price: -175,2025-02-20 19:01:00 - price: -116,2025-02-22 18:57:00 - price: -113,Austin Vanderford
2025-02-23,UFC,Henry Cejudo,2025-01-14 18:25:00 - price: +165,2025-02-21 00:15:00 - price: +216,2025-02-22 23:17:00 - price: +208,Song Yadong,2025-01-14 18:25:00 - price: -215,2025-02-20 21:57:00 - price: -276,2025-02-22 23:17:00 - price: -261,Song Yadong
2025-02-23,UFC,Mansur Abdul-Malik,2025-02-13 14:17:00 - price: -549,2025-02-20 20:01:00 - price: -1119,2025-02-22 19:43:00 - price: -1223,Nick Klein,2025-02-13 14:17:00 - price: +400,2025-02-20 20:01:00 - price: +692,2025-02-22 19:43:00 - price: +762,Mansur Abdul-Malik
2025-02-23,UFC,Javid Basharat,2025-01-15 13:43:00 - price: -218,2025-02-20 19:31:00 - price: -259,2025-02-22 19:19:00 - price: -256,Ricky Simon,2025-01-15 13:43:00 - price: +180,2025-02-20 19:31:00 - price: +207,2025-02-22 19:19:00 - price: +207,Ricky Simon
2025-02-16,UFC,Dylan Budka,2025-02-04 18:25:00 - price: +250,2025-02-13 20:45:00 - price: +296,2025-02-15 20:07:00 - price: +441,Edmen Shahbazyan,2025-02-04 18:25:00 - price: -310,2025-02-13 20:45:00 - price: -387,2025-02-15 20:07:00 - price: -590,Edmen Shahbazyan
2025-02-16,UFC,Jared Cannonier,2025-02-01 18:23:00 - price: -130,2025-02-13 21:47:00 - price: +184,2025-02-15 20:59:00 - price: +196,Gregory Rodrigues,2025-02-01 18:23:00 - price: +110,2025-02-13 21:47:00 - price: -227,2025-02-15 20:59:00 - price: -242,Jared Cannonier
2025-02-16,UFC,Andre Petroski,2025-02-04 18:31:00 - price: +140,2025-02-13 19:45:00 - price: +216,2025-02-15 19:01:00 - price: +224,Rodolfo Vieira,2025-02-04 18:31:00 - price: -166,2025-02-13 19:45:00 - price: -273,2025-02-15 19:01:00 - price: -283,Andre Petroski
2025-02-16,UFC,Calvin Kattar,2025-02-04 18:21:00 - price: +195,2025-02-13 20:05:00 - price: +359,2025-02-15 20:27:00 - price: +354,Youssef Zalal,2025-02-04 18:21:00 - price: -238,2025-02-13 20:05:00 - price: -486,2025-02-15 20:27:00 - price: -471,Youssef Zalal
